System,Pathway origin and projections,Regulated cognitive processes and behaviors
Noradrenaline system,Noradrenergic pathways:,anxiety
Noradrenaline system,Locus coeruleus (LC) projections,arousal (wakefulness)
Noradrenaline system,LC → Amygdala and Hippocampus,circadian rhythm
Noradrenaline system,LC → Brain stem and Spinal cord,cognitive control and working memory (co-regulated by dopamine)
Noradrenaline system,LC → Cerebellum,feeding and energy homeostasis
Noradrenaline system,LC → Cerebral cortex,medullary control of respiration
Noradrenaline system,LC → Hypothalamus,negative emotional memory
Noradrenaline system,LC → Tectum,nociception (perception of pain)
Noradrenaline system,LC → Thalamus,reward (minor role)
Noradrenaline system,LC → Ventral tegmental area,
Noradrenaline system,Lateral tegmental field (LTF) projections,
Noradrenaline system,LTF → Brain stem and Spinal cord,
Noradrenaline system,LTF → Olfactory bulb,
Dopamine system,Dopaminergic pathways:,arousal (wakefulness)
Dopamine system,Ventral tegmental area (VTA) projections,aversion
Dopamine system,VTA → Amygdala,cognitive control and working memory (co-regulated by norepinephrine)
Dopamine system,VTA → Cingulate cortex,emotion and mood
Dopamine system,VTA → Hippocampus,motivation (motivational salience)
Dopamine system,VTA → Ventral striatum (Mesolimbic pathway),motor function and control
Dopamine system,VTA → Olfactory bulb,positive reinforcement
Dopamine system,VTA → Prefrontal cortex (Mesocortical pathway),reward (primary mediator)
Dopamine system,Nigrostriatal pathway,"sexual arousal, orgasm, and refractory period (via neuroendocrine regulation)"
Dopamine system,Substantia nigra pars compacta → Dorsal striatum,
Dopamine system,Tuberoinfundibular pathway,
Dopamine system,Arcuate nucleus → Median eminence,
Dopamine system,Hypothalamospinal projection,
Dopamine system,Hypothalamus → Spinal cord,
Dopamine system,Incertohypothalamic pathway,
Dopamine system,Zona incerta → Hypothalamus,
Histamine system,Histaminergic pathways:,arousal (wakefulness)
Histamine system,Tuberomammillary nucleus (TMN) projections,feeding and energy homeostasis
Histamine system,TMN → Cerebral cortex,learning
Histamine system,TMN → Hippocampus,memory
Histamine system,TMN → Neostriatum,
Histamine system,TMN → Nucleus accumbens,
Histamine system,TMN → Amygdala,
Histamine system,TMN → Hypothalamus,
Serotonin system,Serotonergic pathways:,arousal (wakefulness)
Serotonin system,Caudal nuclei (CN):,body temperature regulation
Serotonin system,"Raphe magnus, raphe pallidus, and raphe obscurus","emotion and mood, potentially including aggression"
Serotonin system,Caudal projections,feeding and energy homeostasis
Serotonin system,CN → Cerebral cortex,reward (minor role)
Serotonin system,CN → Thalamus,sensory perception
Serotonin system,CN → Caudate-putamen and nucleus accumbens,
Serotonin system,CN → Substantia nigra and ventral tegmental area,
Serotonin system,Rostral nuclei (RN):,
Serotonin system,"Nucleus linearis, dorsal raphe, medial raphe, and raphe pontis",
Serotonin system,Rostral projections,
Serotonin system,RN → Amygdala,
Serotonin system,RN → Cingulate cortex,
Serotonin system,RN → Hippocampus,
Serotonin system,RN → Hypothalamus,
Serotonin system,RN → Neocortex,
Serotonin system,RN → Septum,
Serotonin system,RN → Thalamus,
Serotonin system,RN → Ventral tegmental area,
Acetylcholine system,Cholinergic pathways:,arousal (wakefulness)
Acetylcholine system,Forebrain cholinergic nuclei (FCN):,emotion and mood
Acetylcholine system,"Nucleus basalis of Meynert, medial septal nucleus, and diagonal band",learning
Acetylcholine system,Forebrain nuclei projections,motor function
Acetylcholine system,FCN → Hippocampus,motivation (motivational salience)
Acetylcholine system,FCN → Cerebral cortex,short-term memory
Acetylcholine system,FCN → Limbic cortex and sensory cortex,reward (minor role)
Acetylcholine system,Brainstem cholinergic nuclei (BCN):,
Acetylcholine system,"Pedunculopontine nucleus, laterodorsal tegmentum, medial habenula, and",
Acetylcholine system,parabigeminal nucleus,
Acetylcholine system,Brainstem nuclei projections,
Acetylcholine system,BCN → Ventral tegmental area,
Acetylcholine system,BCN → Thalamus,
